Year,State,FIPS,Case_status,Sex,Age_cat_yrs,Frequency
2008,AK,Suppressed,Confirmed,Female,20+,5
2008,AL,Suppressed,Confirmed,Suppressed,Suppressed,6
2008,AL,Suppressed,Probable,Suppressed,Suppressed,3
2008,AZ,04013,Confirmed,Male,0-19,2
2008,AZ,04013,Probable,Male,0-19,3
2008,AZ,04013,Probable,Male,Suppressed,1
2008,AZ,04013,Probable,Suppressed,Suppressed,2
2008,CA,06001,Confirmed,Suppressed,Suppressed,6
2008,CA,06023,Confirmed,Suppressed,Suppressed,6
2008,CA,06037,Confirmed,Male,Suppressed,5
2008,CA,06045,Confirmed,Suppressed,Suppressed,9
2008,CA,06075,Confirmed,Suppressed,Suppressed,5
2008,CA,06097,Confirmed,Male,20+,5
2008,CA,06097,Confirmed,Male,Suppressed,2
2008,CA,06097,Confirmed,Suppressed,20+,2
2008,CA,Suppressed,Confirmed,Male,0-19,8
2008,CA,Suppressed,Confirmed,Female,20+,11
2008,CA,Suppressed,Confirmed,Suppressed,Suppressed,15
2008,CT,09001,Confirmed,Male,0-19,100
2008,CT,09001,Confirmed,Male,20+,139
2008,CT,09001,Confirmed,Female,0-19,61
2008,CT,09001,Confirmed,Female,20+,94
2008,CT,09001,Confirmed,Suppressed,0-19,3
2008,CT,09001,Confirmed,Suppressed,Suppressed,2
2008,CT,09001,Probable,Male,0-19,25
2008,CT,09001,Probable,Male,20+,46
2008,CT,09001,Probable,Female,0-19,25
2008,CT,09001,Probable,Female,20+,35
2008,CT,09003,Confirmed,Male,0-19,67
2008,CT,09003,Confirmed,Male,20+,87
2008,CT,09003,Confirmed,Female,0-19,33
2008,CT,09003,Confirmed,Female,20+,63
2008,CT,09003,Confirmed,Suppressed,0-19,1
2008,CT,09003,Probable,Male,0-19,6
2008,CT,09003,Probable,Male,20+,9
2008,CT,09003,Probable,Female,0-19,7
2008,CT,09003,Probable,Female,20+,18
2008,CT,09005,Confirmed,Male,0-19,24
2008,CT,09005,Confirmed,Male,20+,48
2008,CT,09005,Confirmed,Female,0-19,11
2008,CT,09005,Confirmed,Female,20+,39
2008,CT,09005,Confirmed,Suppressed,0-19,1
2008,CT,09005,Probable,Male,0-19,3
2008,CT,09005,Probable,Male,20+,22
2008,CT,09005,Probable,Female,0-19,4
2008,CT,09005,Probable,Female,20+,20
2008,CT,09007,Confirmed,Male,0-19,34
2008,CT,09007,Confirmed,Male,20+,42
2008,CT,09007,Confirmed,Female,0-19,26
2008,CT,09007,Confirmed,Female,20+,42
2008,CT,09007,Probable,Male,0-19,11
2008,CT,09007,Probable,Male,20+,16
2008,CT,09007,Probable,Female,0-19,5
2008,CT,09007,Probable,Female,20+,19
2008,CT,09009,Confirmed,Male,0-19,53
2008,CT,09009,Confirmed,Male,20+,119
